[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2020-04-17 11:49:52.568340 I | etcdmain: etcd Version: 3.4.3
2020-04-17 11:50:26.205635 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2cf33f\" " with result "range_response_count:1 size:634" took too long (135.686178ms) to execute
2020-04-17 11:50:27.255217 W | etcdserver: request "header:<ID:10931205549377339000 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/workernode2.1606990c8edf077d\" mod_revision:205236 > success:<request_put:<key:\"/registry/events/default/workernode2.1606990c8edf077d\" value_size:553 lease:1707833512522563007 >> failure:<request_range:<key:\"/registry/events/default/workernode2.1606990c8edf077d\" > >>" with result "size:18" took too long (115.468094ms) to execute
2020-04-17 11:50:27.255835 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:endpoint-controller\" " with result "range_response_count:1 size:755" took too long (997.491014ms) to execute
2020-04-17 11:50:27.257057 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a45bedb\" " with result "range_response_count:1 size:646" took too long (997.834201ms) to execute
2020-04-17 11:50:27.261882 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:581" took too long (222.886525ms) to execute
2020-04-17 11:50:27.267308 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (930.914158ms) to execute
2020-04-17 11:50:27.267891 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:3 size:16533" took too long (981.095222ms) to execute
2020-04-17 11:50:27.270865 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2ce56d\" " with result "range_response_count:1 size:636" took too long (988.697356ms) to execute
2020-04-17 11:50:27.572900 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.1606990c8edf157e\" " with result "range_response_count:1 size:640" took too long (301.50494ms) to execute
2020-04-17 11:50:27.574171 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:endpointslice-controller\" " with result "range_response_count:1 size:792" took too long (300.004857ms) to execute
2020-04-17 11:50:27.574855 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (237.236694ms) to execute
2020-04-17 11:50:27.575462 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:488" took too long (300.56738ms) to execute
2020-04-17 11:50:28.389466 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:generic-garbage-collector\" " with result "range_response_count:1 size:694" took too long (798.992997ms) to execute
2020-04-17 11:50:28.390062 W | etcdserver: request "header:<ID:10931205549377339011 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/workernode2.16069910052f1c67\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/workernode2.16069910052f1c67\" value_size:569 lease:1707833512522563007 >> failure:<>>" with result "size:18" took too long (650.902252ms) to execute
2020-04-17 11:50:28.390250 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a45f7c6\" " with result "range_response_count:1 size:642" took too long (792.423535ms) to execute
2020-04-17 11:50:28.391292 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (657.244545ms) to execute
2020-04-17 11:50:28.391715 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (753.771008ms) to execute
2020-04-17 11:50:28.392148 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2cc06b\" " with result "range_response_count:1 size:640" took too long (771.667706ms) to execute
2020-04-17 11:50:28.604738 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode2.16069910052f1c67\" " with result "range_response_count:1 size:658" took too long (199.807932ms) to execute
2020-04-17 11:50:28.605433 W | etcdserver: request "header:<ID:10931205549377339017 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/masternode.1606990eec2cc06b\" mod_revision:205241 > success:<request_put:<key:\"/registry/events/default/masternode.1606990eec2cc06b\" value_size:552 lease:1707833512522563007 >> failure:<request_range:<key:\"/registry/events/default/masternode.1606990eec2cc06b\" > >>" with result "size:18" took too long (108.539192ms) to execute
2020-04-17 11:50:28.605680 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:job-controller\" " with result "range_response_count:1 size:774" took too long (191.579658ms) to execute
2020-04-17 11:50:28.606678 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (171.875087ms) to execute
2020-04-17 11:50:28.607107 W | etcdserver: read-only range request "key:\"/registry/events/default/workernode1.1606990b3a4617f1\" " with result "range_response_count:1 size:640" took too long (185.64775ms) to execute
2020-04-17 11:50:29.846266 W | etcdserver: request "header:<ID:10931205549377339021 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/workernode1.1606990b3a4617f1\" mod_revision:205240 > success:<request_put:<key:\"/registry/events/default/workernode1.1606990b3a4617f1\" value_size:551 lease:1707833512522563007 >> failure:<request_range:<key:\"/registry/events/default/workernode1.1606990b3a4617f1\" > >>" with result "size:18" took too long (570.73235ms) to execute
2020-04-17 11:50:29.847886 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:node-controller\" " with result "range_response_count:1 size:752" took too long (1.227821255s) to execute
2020-04-17 11:50:29.857829 W | etcdserver: read-only range request "key:\"/registry/events/default/masternode.1606990eec2ce56d\" " with result "range_response_count:1 size:636" took too long (1.229588306s) to execute
2020-04-17 11:50:29.859309 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:581" took too long (127.439569ms) to execute
2020-04-17 11:50:29.866193 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.231082865s) to execute
2020-04-17 11:50:30.430752 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:persistent-volume-binder\" " with result "range_response_count:1 size:1077" took too long (566.791172ms) to execute
2020-04-17 11:50:30.435143 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:488" took too long (563.172123ms) to execute
2020-04-17 11:50:30.435823 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (499.339562ms) to execute
2020-04-17 11:50:31.016644 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:replication-controller\" " with result "range_response_count:1 size:829" took too long (540.227511ms) to execute
2020-04-17 11:50:31.019451 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (480.054259ms) to execute
2020-04-17 11:50:31.198528 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:route-controller\" " with result "range_response_count:1 size:676" took too long (163.198914ms) to execute
2020-04-17 11:50:31.199063 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (163.358722ms) to execute
2020-04-17 11:50:33.338548 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "error:context canceled" took too long (2.000429243s) to execute
WARNING: 2020/04/17 11:50:33 grpc: Server.processUnaryRPC failed to write status: connection error: desc = "transport is closing"
2020-04-17 11:50:34.576427 W | wal: sync duration of 2.615400645s, expected less than 1s
2020-04-17 11:50:34.643889 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:certificate-controller\" " with result "range_response_count:1 size:1141" took too long (3.392612668s) to execute
2020-04-17 11:50:34.644398 W | etcdserver: request "header:<ID:10931205549377339059 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/coredns-66bff467f8-fb49c.1606990fc802e3f1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/coredns-66bff467f8-fb49c.1606990fc802e3f1\" value_size:677 lease:1707833512522563007 >> failure:<>>" with result "size:18" took too long (2.682760933s) to execute
2020-04-17 11:50:35.437342 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "error:context deadline exceeded" took too long (2.002003202s) to execute
2020-04-17 11:50:35.444096 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (814.897463ms) to execute
2020-04-17 11:50:35.444871 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-pv9q5\" " with result "range_response_count:1 size:4833" took too long (1.394186687s) to execute
2020-04-17 11:50:35.445393 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:581" took too long (2.414564147s) to execute
2020-04-17 11:50:35.970108 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:controller:pvc-protection-controller\" " with result "range_response_count:1 size:727" took too long (1.319288798s) to execute
2020-04-17 11:50:35.980562 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:513" took too long (512.886992ms) to execute
2020-04-17 11:50:35.983172 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (440.245216ms) to execute
2020-04-17 11:50:35.987193 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:488" took too long (512.504021ms) to execute
2020-04-17 11:50:36.222081 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/cluster-admin\" " with result "range_response_count:1 size:717" took too long (203.918948ms) to execute
2020-04-17 11:50:36.225499 W | etcdserver: read-only range request "key:\"/registry/minions/workernode1\" " with result "range_response_count:1 size:5380" took too long (109.845647ms) to execute
2020-04-17 11:50:36.227215 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (191.837104ms) to execute
2020-04-17 11:50:36.236761 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (201.145137ms) to execute
2020-04-17 11:50:36.643875 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (400.44951ms) to execute
2020-04-17 11:50:36.647834 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-66bff467f8-fb49c.1606990fc802e3f1\" " with result "range_response_count:1 size:783" took too long (401.301913ms) to execute
2020-04-17 11:50:36.729278 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:basic-user\" " with result "range_response_count:1 size:735" took too long (429.270098ms) to execute
2020-04-17 11:50:36.730207 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (123.693983ms) to execute
2020-04-17 11:50:36.734568 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (428.968648ms) to execute
2020-04-17 11:50:38.115648 W | etcdserver: request "header:<ID:10931205549377339105 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kubernetes-dashboard/dashboard-metrics-scraper-dc6947fbf-9lk4b.160699100891121c\" mod_revision:205281 > success:<request_put:<key:\"/registry/events/kubernetes-dashboard/dashboard-metrics-scraper-dc6947fbf-9lk4b.160699100891121c\" value_size:729 lease:1707833512522563007 >> failure:<request_range:<key:\"/registry/events/kubernetes-dashboard/dashboard-metrics-scraper-dc6947fbf-9lk4b.160699100891121c\" > >>" with result "size:18" took too long (471.421747ms) to execute
2020-04-17 11:50:38.118061 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:kube-dns\" " with result "range_response_count:1 size:712" took too long (1.32775571s) to execute
2020-04-17 11:50:38.203098 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (453.419956ms) to execute
2020-04-17 11:50:38.203192 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:517" took too long (1.40927895s) to execute
2020-04-17 11:50:38.203454 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.363542836s) to execute
2020-04-17 11:50:38.378168 W | etcdserver: request "header:<ID:10931205549377339111 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/coredns-66bff467f8-zcp44.1606990fbca988c6\" mod_revision:205268 > success:<request_put:<key:\"/registry/events/kube-system/coredns-66bff467f8-zcp44.1606990fbca988c6\" value_size:677 lease:1707833512522563007 >> failure:<request_range:<key:\"/registry/events/kube-system/coredns-66bff467f8-zcp44.1606990fbca988c6\" > >>" with result "size:18" took too long (124.564757ms) to execute
2020-04-17 11:50:38.380401 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:volume-scheduler\" " with result "range_response_count:1 size:753" took too long (127.81483ms) to execute
2020-04-17 11:50:38.738562 W | etcdserver: read-only range request "key:\"/registry/events/kubernetes-dashboard/kubernetes-dashboard-5d4dc8b976-94m57.1606991030fc3050\" " with result "range_response_count:1 size:849" took too long (351.9098ms) to execute
2020-04-17 11:50:38.739187 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:node\" " with result "range_response_count:1 size:641" took too long (352.563141ms) to execute
2020-04-17 11:50:38.739824 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (486.498498ms) to execute
2020-04-17 11:50:38.740338 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (353.326713ms) to execute
2020-04-17 11:50:39.513940 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (662.012091ms) to execute
2020-04-17 11:50:39.514609 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:clusterrole-aggregation-controller\" " with result "range_response_count:1 size:849" took too long (662.739115ms) to execute
2020-04-17 11:50:39.514980 W | etcdserver: request "header:<ID:10931205549377339121 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:205297 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:517 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:18" took too long (660.809049ms) to execute
2020-04-17 11:50:39.523028 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/weave-net-5c6l4\" " with result "range_response_count:1 size:7049" took too long (615.895416ms) to execute
2020-04-17 11:50:40.114421 W | etcdserver: request "header:<ID:10931205549377339128 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/weave-net-5c6l4\" mod_revision:205195 > success:<request_put:<key:\"/registry/pods/kube-system/weave-net-5c6l4\" value_size:6986 >> failure:<request_range:<key:\"/registry/pods/kube-system/weave-net-5c6l4\" > >>" with result "size:18" took too long (240.280764ms) to execute
2020-04-17 11:50:40.115646 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (568.78471ms) to execute
2020-04-17 11:50:40.116112 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:deployment-controller\" " with result "range_response_count:1 size:797" took too long (569.058697ms) to execute
2020-04-17 11:50:40.127460 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (376.613347ms) to execute
2020-04-17 11:50:40.129174 W | etcdserver: read-only range request "key:\"/registry/pods/\" range_end:\"/registry/pods0\" limit:500 " with result "range_response_count:24 size:98165" took too long (537.911648ms) to execute
2020-04-17 11:50:40.129559 W | etcdserver: read-only range request "key:\"/registry/events/kubernetes-dashboard/dashboard-metrics-scraper-dc6947fbf-9lk4b.160699100891121c\" " with result "range_response_count:1 size:861" took too long (579.331716ms) to execute
2020-04-17 11:50:40.489393 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-66bff467f8-zcp44.1606990fbca988c6\" " with result "range_response_count:1 size:783" took too long (285.544147ms) to execute
2020-04-17 11:50:40.490204 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:endpointslice-controller\" " with result "range_response_count:1 size:809" took too long (294.159413ms) to execute
2020-04-17 11:50:40.493081 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (256.872544ms) to execute
2020-04-17 11:50:41.356192 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (820.350776ms) to execute
2020-04-17 11:50:41.356853 W | etcdserver: read-only range request "key:\"/registry/events/kubernetes-dashboard/kubernetes-dashboard-5d4dc8b976-94m57.1606991030fc3050\" " with result "range_response_count:1 size:849" took too long (843.198849ms) to execute
2020-04-17 11:50:41.357389 W | etcdserver: request "header:<ID:10931205549377339144 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/kube-scheduler.160699167ec2b4ed\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/kube-scheduler.160699167ec2b4ed\" value_size:665 lease:1707833512522563007 >> failure:<>>" with result "size:18" took too long (549.920173ms) to execute
2020-04-17 11:50:41.357564 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:581" took too long (764.344132ms) to execute
2020-04-17 11:50:41.359010 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (613.310275ms) to execute
2020-04-17 11:50:41.359349 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-sh7s9\" " with result "range_response_count:1 size:4828" took too long (701.987636ms) to execute
2020-04-17 11:50:41.359959 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-6vkzs\" " with result "range_response_count:1 size:2168" took too long (708.635646ms) to execute
2020-04-17 11:50:41.363692 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:generic-garbage-collector\" " with result "range_response_count:1 size:813" took too long (769.799856ms) to execute
2020-04-17 11:50:42.741666 W | etcdserver: request "header:<ID:10931205549377339148 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/kube-scheduler.160699167ec30eda\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/kube-scheduler.160699167ec30eda\" value_size:681 lease:1707833512522563007 >> failure:<>>" with result "size:18" took too long (974.184209ms) to execute
2020-04-17 11:50:42.743126 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:horizontal-pod-autoscaler\" " with result "range_response_count:1 size:813" took too long (1.347943899s) to execute
2020-04-17 11:50:42.755714 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:488" took too long (1.360083891s) to execute
2020-04-17 11:50:42.759079 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (638.990171ms) to execute
2020-04-17 11:50:42.769462 W | etcdserver: read-only range request "key:\"/registry/pods/default/server-deployment-58dcbc5d59-4lds2\" " with result "range_response_count:1 size:2056" took too long (1.260589302s) to execute
2020-04-17 11:50:42.772008 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.023531426s) to execute
2020-04-17 11:50:42.772713 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-6vkzs\" " with result "range_response_count:1 size:2168" took too long (1.263797727s) to execute
2020-04-17 11:50:42.776949 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-apiserver-masternode.1606991108eb48ee\" " with result "range_response_count:1 size:804" took too long (1.376822501s) to execute
2020-04-17 11:50:42.777303 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.341376178s) to execute
2020-04-17 11:50:43.440513 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:namespace-controller\" " with result "range_response_count:1 size:793" took too long (671.530479ms) to execute
2020-04-17 11:50:43.440963 W | etcdserver: request "header:<ID:10931205549377339154 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/server-deployment-58dcbc5d59-4lds2.16069917010b1383\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/server-deployment-58dcbc5d59-4lds2.16069917010b1383\" value_size:830 lease:1707833512522563007 >> failure:<>>" with result "size:18" took too long (106.963161ms) to execute
2020-04-17 11:50:43.441262 W | etcdserver: read-only range request "key:\"/registry/pods/default/server-deployment-58dcbc5d59-4lds2\" " with result "range_response_count:1 size:2056" took too long (661.798231ms) to execute
2020-04-17 11:50:43.444130 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:581" took too long (654.740328ms) to execute
2020-04-17 11:50:43.444458 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (608.312232ms) to execute
2020-04-17 11:50:43.445001 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:513" took too long (656.192163ms) to execute
2020-04-17 11:50:43.445299 W | etcdserver: read-only range request "key:\"/registry/pods/default/server-deployment-58dcbc5d59-fs5tj\" " with result "range_response_count:1 size:2056" took too long (663.168123ms) to execute
2020-04-17 11:50:43.987792 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-6jzrw\" " with result "range_response_count:1 size:2168" took too long (511.969358ms) to execute
2020-04-17 11:50:43.988566 W | etcdserver: read-only range request "key:\"/registry/pods/default/server-deployment-58dcbc5d59-fs5tj\" " with result "range_response_count:1 size:2056" took too long (513.544048ms) to execute
2020-04-17 11:50:43.989173 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:488" took too long (514.171002ms) to execute
2020-04-17 11:50:44.069402 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (321.293119ms) to execute
2020-04-17 11:50:44.070259 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (529.075482ms) to execute
2020-04-17 11:50:44.070743 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:513" took too long (538.00937ms) to execute
2020-04-17 11:50:44.071144 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:persistent-volume-binder\" " with result "range_response_count:1 size:809" took too long (546.670268ms) to execute
2020-04-17 11:50:44.359410 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-66bff467f8-zcp44.1606990fbca988c6\" " with result "range_response_count:1 size:783" took too long (356.777212ms) to execute
2020-04-17 11:50:44.360272 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-6jzrw\" " with result "range_response_count:1 size:2168" took too long (361.441892ms) to execute
2020-04-17 11:50:44.360765 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-x49tx\" " with result "range_response_count:1 size:2168" took too long (361.835116ms) to execute
2020-04-17 11:50:44.363272 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:581" took too long (281.48346ms) to execute
2020-04-17 11:50:44.364327 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (228.693602ms) to execute
2020-04-17 11:50:44.364715 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:pod-garbage-collector\" " with result "range_response_count:1 size:797" took too long (282.931866ms) to execute
2020-04-17 11:50:46.048035 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:replicaset-controller\" " with result "range_response_count:1 size:797" took too long (1.674274839s) to execute
2020-04-17 11:50:46.048894 W | etcdserver: request "header:<ID:10931205549377339173 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/client-deployment-ffcfc744b-x49tx.160699176036af5b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/client-deployment-ffcfc744b-x49tx.160699176036af5b\" value_size:828 lease:1707833512522563007 >> failure:<>>" with result "size:18" took too long (781.944847ms) to execute
2020-04-17 11:50:46.050645 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/weave-net-4sqsw.1606991569984881\" " with result "range_response_count:1 size:848" took too long (662.891376ms) to execute
2020-04-17 11:50:46.053038 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.30416376s) to execute
2020-04-17 11:50:46.054482 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (1.619710034s) to execute
2020-04-17 11:50:46.055274 W | etcdserver: read-only range request "key:\"/registry/events/kubernetes-dashboard/dashboard-metrics-scraper-dc6947fbf-9lk4b.160699100891121c\" " with result "range_response_count:1 size:861" took too long (1.663833813s) to execute
2020-04-17 11:50:46.056697 W | etcdserver: read-only range request "key:\"/registry/pods/default/server-deployment-58dcbc5d59-4cdmp\" " with result "range_response_count:1 size:2056" took too long (1.674678589s) to execute
2020-04-17 11:50:46.057214 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-x49tx\" " with result "range_response_count:1 size:2168" took too long (1.675235648s) to execute
2020-04-17 11:50:46.057402 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:486" took too long (1.683512515s) to execute
2020-04-17 11:50:46.271642 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:ttl-controller\" " with result "range_response_count:1 size:771" took too long (176.416829ms) to execute
2020-04-17 11:50:46.272119 W | etcdserver: request "header:<ID:10931205549377339186 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:205310 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:499 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:18" took too long (115.677472ms) to execute
2020-04-17 11:50:46.280485 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-dwsn9\" " with result "range_response_count:1 size:2168" took too long (184.609068ms) to execute
2020-04-17 11:50:46.299658 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (161.912706ms) to execute
2020-04-17 11:50:46.305253 W | etcdserver: read-only range request "key:\"/registry/pods/default/server-deployment-58dcbc5d59-4cdmp\" " with result "range_response_count:1 size:2056" took too long (209.359215ms) to execute
2020-04-17 11:50:46.515649 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (179.480927ms) to execute
2020-04-17 11:50:46.515833 W | etcdserver: read-only range request "key:\"/registry/pods/default/server-deployment-58dcbc5d59-nlbkj\" " with result "range_response_count:1 size:2056" took too long (185.738124ms) to execute
2020-04-17 11:50:46.515966 W | etcdserver: read-only range request "key:\"/registry/pods/default/client-deployment-ffcfc744b-6vkzs\" " with result "range_response_count:1 size:2168" took too long (184.504533ms) to execute
2020-04-17 11:50:46.516130 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (134.014187ms) to execute
2020-04-17 11:50:46.518481 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings/system:controller:pv-protection-controller\" " with result "range_response_count:1 size:811" took too long (135.408736ms) to execute
